simulation_id,yield_kg_ha,soc_change_t_ha
415,3512.9,1.36
416,4017.3,1.24
417,2030.8,0.84
418,4735.1,1.29
419,2922.3,1.3
420,1753.5,0.98
421,3332.0,0.94
422,2266.3,0.79
423,2726.3,0.77
424,2725.0,0.96
425,2791.7,0.95
426,1860.4,0.8
427,1434.2,0.71
428,1098.7,0.7
429,4076.6,1.0
430,2886.1,0.94
431,2291.9,0.9
432,1909.6,0.86
433,2937.9,1.01
434,3579.8,1.39
435,2730.2,1.08
436,3948.7,1.14
437,2637.0,0.97
438,3065.5,1.08
439,2703.9,0.94
440,2374.9,0.91
441,3920.1,1.02
442,2164.1,0.84
443,1658.4,0.8
444,3151.6,1.2
445,2220.8,1.01
446,4291.9,1.16
447,2927.7,0.91
448,1702.5,0.85
449,3142.9,1.19
450,3350.8,1.19
451,2656.4,0.85
452,3496.5,1.1
453,2785.8,0.94
454,3225.8,0.99
455,2051.8,0.89
456,1723.0,0.87
457,1893.6,0.81
458,3008.8,1.0
459,4353.4,1.08
460,4148.8,1.07
461,4246.0,0.98
462,3714.0,1.17
463,2308.9,0.95
464,2411.9,0.96
465,2228.7,0.9
466,3008.5,1.1
467,3181.9,1.09
468,3410.6,0.82
469,2553.0,0.95
470,3396.4,1.08
471,4218.7,1.2
472,2669.9,0.85
473,2587.3,1.02
474,2645.2,0.89
475,3153.0,1.23
476,2727.7,1.0
477,3782.7,1.13
478,2681.3,0.95
479,2841.4,0.87
480,3125.6,1.0
481,3148.8,1.05
482,3863.1,1.04
483,3418.0,1.24
484,4224.1,1.23
485,4567.8,1.09
486,2337.7,0.87
487,2768.8,1.12
488,2137.8,0.92
489,1732.9,0.88
490,4022.5,1.12
491,3707.4,1.07
492,3654.4,1.04
493,2334.7,1.03
494,1757.0,0.69
495,3304.4,1.16
496,3497.5,1.11
497,2521.3,0.86
498,3251.7,1.02
499,3709.6,1.07
500,4687.3,1.23
501,2764.5,0.9
502,2022.3,0.86
503,2480.8,0.91
504,2867.1,0.96
505,2934.2,1.11
506,3206.1,0.89
507,2783.6,1.0
508,2622.1,0.98
509,2501.2,1.01
510,2693.3,1.02
511,2247.3,0.93
512,4286.3,1.12
513,2046.9,0.8
514,2679.1,1.03
515,3633.1,1.1
516,4030.1,1.14
517,3244.0,1.12
518,2445.8,0.94
519,2962.5,0.94
520,2454.6,0.95
521,1748.9,0.85
522,3121.2,0.86
523,5192.9,1.19
524,3692.4,1.1
525,2846.2,0.86
526,3126.4,1.08
527,2314.6,0.9
528,2587.4,0.88
529,3841.5,0.96
530,3751.8,1.22
531,2392.1,0.87
532,4504.6,1.23
533,5201.8,1.34
534,2402.9,1.04
535,2147.0,0.97
536,2451.8,0.93
537,2210.6,0.93
538,3565.1,1.07
539,2103.8,0.84
540,2764.8,0.95
541,2371.9,1.06
542,1951.3,0.8
543,1486.7,0.77
544,5449.2,1.29
545,1835.2,0.81
546,1614.2,0.68
547,4947.6,1.28
548,2897.5,0.88
549,1624.7,1.09
550,2621.8,0.9
551,3096.2,0.95
552,2826.8,0.91
553,2971.1,1.07
554,2707.9,1.06
555,2641.5,1.01
556,2101.8,0.76
557,2736.4,0.91
558,4817.9,1.21
559,3105.0,0.96
560,2240.1,0.88
561,3514.7,1.04
562,3618.3,1.08
563,3634.1,1.01
564,1818.0,0.75
565,2817.2,0.93
566,3870.6,1.28
567,3316.8,1.08
568,3122.4,0.92
569,2407.2,0.9
570,3053.0,0.95
571,2381.0,0.91
572,2349.5,0.88
573,2330.2,0.8
574,3736.3,0.99
575,2292.7,0.84
576,2888.9,1.17
577,2223.1,0.95
578,3669.7,1.14
579,3266.4,1.11
580,2689.6,0.91
581,1958.5,0.91
582,4068.7,1.16
583,3076.3,0.96
584,719.0,0.65
585,2468.1,0.97
586,2729.4,1.07
587,3338.5,0.95
588,2236.3,0.92
589,2609.8,0.86
590,1789.7,0.9
591,2775.3,0.9
592,3224.4,1.12
593,1989.5,0.89
594,3689.9,1.1
595,3289.1,0.99
596,3850.2,1.12
597,2944.8,1.01
598,1949.1,0.95
599,3021.4,0.96
600,2211.5,0.71
601,2616.5,0.97
602,3322.9,0.99
603,2381.5,0.91
604,3361.8,1.02
605,1575.7,0.87
606,2601.5,1.12
607,3411.2,1.0
608,4193.9,1.1
609,2130.1,0.81
610,3704.0,1.09
611,3385.4,1.07
612,2999.2,0.98
613,2357.5,0.94
614,2553.5,0.93
615,3049.6,1.06
616,2712.4,0.89
617,1643.7,0.85
618,2019.4,0.75
619,3157.4,0.98
620,2282.7,0.86
621,2457.9,0.82
622,3571.2,0.95
623,3462.7,1.06
624,1497.8,0.79
625,2190.0,0.79
626,2561.0,0.96
627,3302.5,0.93
628,1851.0,0.72
629,1827.0,1.0
630,3303.0,1.0
631,2826.1,0.9
632,4106.6,1.03
633,4249.3,1.32
634,2502.3,1.02
635,1942.2,0.81
636,2553.5,0.96
637,5461.4,1.13
638,2247.6,1.01
639,3312.6,1.02
640,3264.3,1.04
641,5839.6,1.19
642,2251.8,0.83
643,1684.9,0.84
644,2694.5,1.15
645,2844.0,1.02
646,2390.7,1.05
647,1854.1,0.79
648,2138.8,0.9
649,3055.7,1.12
650,2815.3,1.09
651,2899.7,0.83
652,3284.5,1.06
653,3662.6,1.06
654,2757.2,0.92
655,4582.1,1.21
656,3785.4,0.88
657,2755.9,1.01
658,2684.9,1.0
659,1800.2,0.79
660,3141.6,1.06
661,4522.9,1.02
662,2953.3,1.04
663,3417.7,1.12
664,3484.3,1.0
665,1234.7,0.82
666,3279.7,1.08
667,4130.9,1.12
668,1488.4,0.75
669,2159.1,0.87
670,4117.3,1.19
671,2381.9,0.9
672,3486.0,1.13
673,2389.4,0.94
674,2760.4,0.95
675,2953.6,0.98
676,2033.5,0.98
677,3573.1,1.27
678,3332.7,0.96
679,3421.8,1.06
680,2563.4,0.87
681,3051.7,1.0
682,4502.0,1.19
683,2191.7,0.81
684,2742.6,1.12
685,2509.3,0.89
686,2905.1,0.94
687,3292.3,1.05
688,3025.4,0.95
689,1917.9,0.82
690,2406.0,0.88
691,3277.4,1.12
692,2158.5,0.88
693,2373.3,0.94
694,2555.3,1.06
695,2437.4,0.86
696,4277.1,1.22
697,2821.5,0.94
698,2782.8,0.91
699,4382.5,1.26
700,2846.5,0.95
701,2383.6,1.06
702,3191.0,0.95
703,4063.0,1.07
704,3092.3,0.99
705,1798.8,0.9
706,4202.0,1.05
707,3005.7,0.8
708,2007.3,0.94
709,4838.7,1.06
710,1402.1,0.76
711,2976.7,1.01
712,2306.0,0.73
713,3625.2,1.11
714,2529.9,0.95
715,2468.8,0.93
716,1757.0,0.86
717,1823.0,0.84
718,4206.9,1.2
719,2743.7,1.1
720,2713.0,0.98
721,3740.3,1.12
722,3373.5,1.03
723,2492.3,0.78
724,2694.7,0.87
725,1717.3,0.81
726,1912.9,0.89
727,3792.3,1.06
728,3133.7,1.11
729,2853.1,0.91
730,4537.9,1.15
731,3505.3,1.14
732,2051.5,0.76
733,2477.5,0.81
734,3347.5,0.95
735,2383.6,0.94
736,2988.2,0.94
737,3945.2,1.25
738,2529.1,0.95
739,3184.8,1.04
740,2655.7,1.06
741,2832.5,0.99
742,2899.9,1.08
743,3183.8,0.89
744,3874.7,1.16
745,2899.9,0.99
746,2063.0,1.03
747,2923.8,1.03
748,3398.4,1.1
749,3578.3,1.04
750,3022.6,0.89
751,2894.1,0.9
752,2932.8,1.06
753,1541.1,0.77
754,1968.0,0.94
755,2736.9,1.01
756,2641.3,1.19
757,3234.1,1.16
758,2298.6,0.96
759,2946.3,0.99
760,3222.2,0.98
761,4247.3,1.27
762,4154.8,1.19
763,3177.3,0.92
764,4893.1,1.2
765,2099.5,0.91
766,2090.6,0.89
767,3717.5,1.13
768,4154.2,1.09
769,2559.4,0.86
770,3347.5,1.09
771,2250.5,0.86
772,2007.1,0.96
773,1778.7,0.8
774,2511.8,0.89
775,3008.7,0.77
776,2133.6,0.78
777,1735.1,0.9
778,2687.6,0.99
779,3389.0,1.1
780,3059.5,1.0
781,1700.5,0.89
782,2714.1,0.93
783,3092.7,0.96
784,2543.7,0.92
785,2427.5,0.81
786,2124.9,0.81
787,2817.7,1.07
788,2153.1,0.94
789,4343.4,1.15
790,2644.9,0.97
791,3528.2,0.93
792,3425.2,1.11
793,2215.9,1.05
794,3830.7,1.09
795,4051.8,1.03
796,3545.2,0.92
797,4143.9,1.15
798,2662.5,0.88
799,3850.2,1.15
800,3198.3,1.13
801,2398.7,0.89
802,2418.2,0.94
803,3690.3,1.06
804,3182.9,1.0
805,4081.2,1.03
806,2557.5,1.07
807,3041.8,0.96
808,3256.7,0.97
809,1814.7,1.05
810,4171.4,1.23
811,1863.3,0.84
812,2616.7,1.11
813,1946.1,0.8
814,2489.2,0.84
815,4117.1,1.31
816,2672.6,1.1
817,3068.7,1.05
818,4170.8,1.21
819,2511.1,0.81
820,3703.9,1.21
821,2478.9,0.86
822,3306.9,0.95
823,3987.7,1.13
824,3039.3,1.13
825,3677.8,1.11
826,3408.8,1.05
827,4205.4,1.1
828,2577.2,0.8
829,3259.5,0.93
830,2257.7,0.82
831,2027.7,0.91
832,2539.8,0.92
833,4480.7,1.22
834,1977.9,0.73
835,4229.0,1.14
836,4826.4,1.13
837,3179.5,0.92
838,3598.6,1.07
839,2952.4,0.9
840,3544.4,1.11
841,2447.2,0.95
842,2848.7,1.03
843,3404.2,1.11
844,2950.3,0.96
845,3357.4,1.14
846,3615.4,0.98
847,2894.8,1.05
848,3265.1,0.98
849,2813.8,0.92
850,3959.0,1.08
851,3934.9,1.03
852,2426.2,1.0
853,2173.4,0.79
854,3246.3,1.1
855,4365.2,1.05
856,1892.5,0.81
857,2331.9,0.96
858,2934.7,1.05
859,1968.0,0.91
860,3454.3,1.11
861,2567.7,0.88
862,3431.3,0.94
863,4015.3,1.12
864,4784.6,1.22
865,3222.0,1.02
866,2463.1,0.92
867,3725.2,1.15
868,2685.0,0.96
869,2104.2,0.95
870,2770.3,0.97
871,3210.4,1.04
872,3136.6,1.02
873,3450.1,1.04
